# m/z   	intensity 
1999.913244  	1484.000000
2000.258846  	1502.000000
2000.604477  	1504.000000
2000.950138  	1483.000000
2001.295829  	1474.000000
2001.641550  	1477.000000
2001.987300  	1466.000000
2002.333081  	1466.000000
2002.678891  	1473.000000
2003.024730  	1486.000000
2003.370600  	1495.000000
2003.716499  	1489.000000
2004.062428  	1475.000000
2004.408387  	1483.000000
2004.754376  	1483.000000
2005.100394  	1508.000000
2005.446442  	1523.000000
2005.792520  	1526.000000
2006.138628  	1543.000000
2006.484765  	1564.000000
2006.830932  	1564.000000
2007.177129  	1561.000000
2007.523356  	1559.000000
2007.869612  	1546.000000
2008.215898  	1544.000000
2008.562214  	1540.000000
2008.908560  	1554.000000
2009.254935  	1571.000000
2009.601340  	1564.000000
2009.947775  	1542.000000
2010.294240  	1513.000000
2010.640735  	1522.000000
2010.987259  	1534.000000
2011.333813  	1545.000000
2011.680397  	1531.000000
2012.027010  	1525.000000
2012.373654  	1530.000000
2012.720327  	1538.000000
2013.067030  	1564.000000
2013.413762  	1566.000000
2013.760524  	1569.000000
2014.107317  	1554.000000
2014.454138  	1528.000000
2014.800990  	1517.000000
2015.147871  	1520.000000
2015.494783  	1523.000000
2015.841724  	1514.000000
2016.188694  	1486.000000
2016.535695  	1476.000000
2016.882725  	1456.000000
2017.229785  	1463.000000
2017.576874  	1452.000000
2017.923994  	1448.000000
2018.271143  	1461.000000
2018.618322  	1495.000000
2018.965531  	1505.000000
2019.312769  	1482.000000
2019.660038  	1457.000000
2020.007336  	1453.000000
2020.354663  	1456.000000
2020.702021  	1461.000000
2021.049408  	1485.000000
2021.396825  	1512.000000
2021.744272  	1526.000000
2022.091749  	1536.000000
2022.439255  	1525.000000
2022.786791  	1527.000000
2023.134357  	1539.000000
2023.481953  	1547.000000
2023.829578  	1529.000000
2024.177233  	1525.000000
2024.524918  	1539.000000
2024.872633  	1554.000000
2025.220377  	1552.000000
2025.568151  	1520.000000
2025.915955  	1518.000000
2026.263789  	1518.000000
2026.611653  	1545.000000
2026.959546  	1569.000000
2027.307469  	1586.000000
2027.655421  	1640.000000
2028.003404  	1732.000000
2028.351416  	1863.000000
2028.699458  	2003.000000
2029.047530  	2145.000000
2029.395632  	2251.000000
2029.743763  	2327.000000
2030.091924  	2369.000000
2030.440115  	2342.000000
2030.788335  	2250.000000
2031.136586  	2161.000000
2031.484866  	2068.000000
2031.833176  	1966.000000
2032.181515  	1880.000000
2032.529885  	1807.000000
2032.878284  	1740.000000
2033.226713  	1678.000000
2033.575171  	1672.000000
2033.923660  	1668.000000
2034.272178  	1643.000000
2034.620726  	1621.000000
2034.969303  	1622.000000
2035.317911  	1629.000000
2035.666548  	1627.000000
2036.015215  	1600.000000
2036.363912  	1574.000000
2036.712638  	1571.000000
2037.061394  	1567.000000
2037.410180  	1572.000000
2037.758996  	1562.000000
2038.107842  	1557.000000
2038.456717  	1569.000000
2038.805622  	1579.000000
2039.154557  	1552.000000
2039.503521  	1527.000000
2039.852515  	1521.000000
2040.201540  	1553.000000
2040.550593  	1579.000000
2040.899677  	1570.000000
2041.248790  	1554.000000
2041.597933  	1550.000000
2041.947106  	1551.000000
2042.296309  	1580.000000
2042.645541  	1603.000000
2042.994803  	1605.000000
2043.344095  	1609.000000
2043.693417  	1608.000000
2044.042768  	1628.000000
2044.392149  	1636.000000
2044.741560  	1637.000000
2045.091001  	1643.000000
2045.440471  	1654.000000
2045.789972  	1664.000000
2046.139501  	1650.000000
2046.489061  	1622.000000
2046.838651  	1613.000000
2047.188270  	1608.000000
2047.537919  	1599.000000
2047.887598  	1592.000000
2048.237306  	1595.000000
2048.587044  	1590.000000
2048.936812  	1603.000000
2049.286610  	1604.000000
2049.636438  	1641.000000
2049.986295  	1700.000000
2050.336182  	1799.000000
2050.686099  	1917.000000
2051.036045  	2061.000000
2051.386022  	2210.000000
2051.736028  	2339.000000
2052.086063  	2427.000000
2052.436129  	2462.000000
2052.786224  	2440.000000
2053.136349  	2394.000000
2053.486504  	2309.000000
2053.836689  	2199.000000
2054.186903  	2063.000000
2054.537147  	1968.000000
2054.887421  	1886.000000
2055.237725  	1813.000000
2055.588058  	1762.000000
2055.938421  	1735.000000
2056.288814  	1721.000000
2056.639237  	1705.000000
2056.989690  	1678.000000
2057.340172  	1667.000000
2057.690684  	1662.000000
2058.041225  	1662.000000
2058.391797  	1670.000000
2058.742398  	1687.000000
2059.093029  	1699.000000
2059.443690  	1682.000000
2059.794380  	1680.000000
2060.145100  	1708.000000
2060.495850  	1756.000000
2060.846630  	1800.000000
2061.197440  	1828.000000
2061.548279  	1851.000000
2061.899148  	1846.000000
2062.250047  	1839.000000
2062.600975  	1807.000000
2062.951934  	1779.000000
2063.302922  	1735.000000
2063.653939  	1689.000000
2064.004987  	1674.000000
2064.356064  	1653.000000
2064.707171  	1647.000000
2065.058308  	1634.000000
2065.409475  	1634.000000
2065.760671  	1674.000000
2066.111897  	1739.000000
2066.463153  	1857.000000
2066.814439  	2014.000000
2067.165754  	2203.000000
2067.517099  	2368.000000
2067.868474  	2490.000000
2068.219879  	2565.000000
2068.571313  	2578.000000
2068.922777  	2556.000000
2069.274271  	2505.000000
2069.625795  	2427.000000
2069.977348  	2297.000000
2070.328932  	2169.000000
2070.680544  	2069.000000
2071.032187  	1984.000000
2071.383860  	1890.000000
2071.735562  	1830.000000
2072.087294  	1799.000000
2072.439056  	1784.000000
2072.790847  	1774.000000
2073.142668  	1767.000000
2073.494519  	1804.000000
2073.846400  	1833.000000
2074.198310  	1847.000000
2074.550251  	1840.000000
2074.902221  	1823.000000
2075.254220  	1822.000000
2075.606250  	1837.000000
2075.958309  	1826.000000
2076.310398  	1801.000000
2076.662517  	1761.000000
2077.014666  	1741.000000
2077.366844  	1729.000000
2077.719052  	1721.000000
2078.071290  	1692.000000
2078.423557  	1693.000000
2078.775855  	1679.000000
2079.128182  	1656.000000
2079.480539  	1651.000000
2079.832925  	1646.000000
2080.185342  	1624.000000
2080.537788  	1610.000000
2080.890263  	1607.000000
2081.242769  	1602.000000
2081.595304  	1610.000000
2081.947870  	1609.000000
2082.300464  	1643.000000
2082.653089  	1677.000000
2083.005743  	1762.000000
2083.358428  	1816.000000
2083.711142  	1863.000000
2084.063885  	1887.000000
2084.416659  	1900.000000
2084.769462  	1920.000000
2085.122295  	1923.000000
2085.475157  	1910.000000
2085.828050  	1882.000000
2086.180972  	1883.000000
2086.533924  	1848.000000
2086.886906  	1798.000000
2087.239917  	1764.000000
2087.592958  	1736.000000
2087.946029  	1702.000000
2088.299130  	1689.000000
2088.652260  	1697.000000
2089.005421  	1759.000000
2089.358611  	1801.000000
2089.711830  	1833.000000
2090.065080  	1836.000000
2090.418359  	1813.000000
