# m/z   	intensity 
1999.686087  	2119.000000
2000.031713  	2111.000000
2000.377370  	2114.000000
2000.723056  	2115.000000
2001.068772  	2104.000000
2001.414517  	2101.000000
2001.760293  	2109.000000
2002.106098  	2114.000000
2002.451933  	2126.000000
2002.797798  	2125.000000
2003.143693  	2128.000000
2003.489618  	2139.000000
2003.835573  	2139.000000
2004.181557  	2140.000000
2004.527571  	2160.000000
2004.873615  	2172.000000
2005.219689  	2182.000000
2005.565793  	2192.000000
2005.911927  	2207.000000
2006.258090  	2216.000000
2006.604283  	2216.000000
2006.950506  	2210.000000
2007.296759  	2196.000000
2007.643042  	2186.000000
2007.989355  	2182.000000
2008.335697  	2172.000000
2008.682069  	2158.000000
2009.028471  	2154.000000
2009.374903  	2156.000000
2009.721365  	2156.000000
2010.067857  	2151.000000
2010.414378  	2146.000000
2010.760929  	2152.000000
2011.107511  	2147.000000
2011.454121  	2154.000000
2011.800762  	2146.000000
2012.147433  	2144.000000
2012.494133  	2135.000000
2012.840864  	2140.000000
2013.187624  	2127.000000
2013.534414  	2126.000000
2013.881233  	2130.000000
2014.228083  	2126.000000
2014.574963  	2125.000000
2014.921872  	2116.000000
2015.268811  	2123.000000
2015.615780  	2131.000000
2015.962779  	2147.000000
2016.309807  	2149.000000
2016.656866  	2153.000000
2017.003954  	2154.000000
2017.351072  	2154.000000
2017.698220  	2158.000000
2018.045398  	2161.000000
2018.392606  	2161.000000
2018.739843  	2157.000000
2019.087111  	2148.000000
2019.434408  	2137.000000
2019.781735  	2131.000000
2020.129092  	2133.000000
2020.476478  	2143.000000
2020.823895  	2153.000000
2021.171341  	2162.000000
2021.518817  	2165.000000
2021.866323  	2151.000000
2022.213859  	2137.000000
2022.561425  	2144.000000
2022.909020  	2130.000000
2023.256646  	2126.000000
2023.604301  	2118.000000
2023.951986  	2124.000000
2024.299701  	2126.000000
2024.647445  	2134.000000
2024.995220  	2158.000000
2025.343024  	2160.000000
2025.690858  	2172.000000
2026.038722  	2161.000000
2026.386616  	2150.000000
2026.734540  	2151.000000
2027.082494  	2167.000000
2027.430477  	2173.000000
2027.778490  	2177.000000
2028.126533  	2172.000000
2028.474606  	2174.000000
2028.822709  	2163.000000
2029.170841  	2180.000000
2029.519004  	2189.000000
2029.867196  	2201.000000
2030.215418  	2192.000000
2030.563670  	2190.000000
2030.911951  	2205.000000
2031.260263  	2221.000000
2031.608604  	2242.000000
2031.956976  	2280.000000
2032.305377  	2322.000000
2032.653808  	2373.000000
2033.002268  	2450.000000
2033.350759  	2529.000000
2033.699279  	2620.000000
2034.047829  	2736.000000
2034.396410  	2883.000000
2034.745019  	3019.000000
2035.093659  	3140.000000
2035.442329  	3219.000000
2035.791028  	3277.000000
2036.139757  	3292.000000
2036.488516  	3253.000000
2036.837305  	3157.000000
2037.186124  	3059.000000
2037.534973  	2952.000000
2037.883851  	2859.000000
2038.232759  	2758.000000
2038.581697  	2651.000000
2038.930665  	2557.000000
2039.279663  	2476.000000
2039.628691  	2404.000000
2039.977748  	2355.000000
2040.326835  	2315.000000
2040.675952  	2278.000000
2041.025099  	2264.000000
2041.374276  	2241.000000
2041.723483  	2233.000000
2042.072719  	2237.000000
2042.421985  	2248.000000
2042.771282  	2258.000000
2043.120607  	2262.000000
2043.469963  	2254.000000
2043.819349  	2236.000000
2044.168764  	2226.000000
2044.518210  	2214.000000
2044.867685  	2220.000000
2045.217190  	2218.000000
2045.566724  	2221.000000
2045.916289  	2224.000000
2046.265883  	2233.000000
2046.615508  	2254.000000
2046.965162  	2261.000000
2047.314846  	2283.000000
2047.664560  	2323.000000
2048.014303  	2349.000000
2048.364077  	2378.000000
2048.713880  	2391.000000
2049.063713  	2411.000000
2049.413576  	2440.000000
2049.763469  	2460.000000
2050.113391  	2487.000000
2050.463344  	2515.000000
2050.813326  	2536.000000
2051.163338  	2554.000000
2051.513380  	2554.000000
2051.863452  	2564.000000
2052.213554  	2544.000000
2052.563685  	2523.000000
2052.913846  	2495.000000
2053.264038  	2465.000000
2053.614259  	2440.000000
2053.964509  	2425.000000
2054.314790  	2399.000000
2054.665101  	2381.000000
2055.015441  	2370.000000
2055.365811  	2367.000000
2055.716211  	2371.000000
2056.066641  	2383.000000
2056.417100  	2393.000000
2056.767590  	2424.000000
2057.118109  	2456.000000
2057.468658  	2485.000000
2057.819237  	2517.000000
2058.169846  	2529.000000
2058.520485  	2547.000000
2058.871153  	2558.000000
2059.221852  	2573.000000
2059.572580  	2555.000000
2059.923338  	2526.000000
2060.274126  	2491.000000
2060.624943  	2461.000000
2060.975791  	2408.000000
2061.326668  	2365.000000
2061.677575  	2325.000000
2062.028512  	2295.000000
2062.379479  	2283.000000
2062.730476  	2274.000000
2063.081502  	2266.000000
2063.432559  	2257.000000
2063.783645  	2266.000000
2064.134761  	2269.000000
2064.485907  	2282.000000
2064.837082  	2303.000000
2065.188288  	2315.000000
2065.539523  	2332.000000
2065.890788  	2339.000000
2066.242083  	2360.000000
2066.593408  	2395.000000
2066.944763  	2433.000000
2067.296147  	2461.000000
2067.647562  	2468.000000
2067.999006  	2464.000000
2068.350480  	2450.000000
2068.701984  	2438.000000
2069.053517  	2408.000000
2069.405081  	2386.000000
2069.756674  	2347.000000
2070.108297  	2315.000000
2070.459950  	2279.000000
2070.811633  	2260.000000
2071.163346  	2261.000000
2071.515088  	2280.000000
2071.866861  	2296.000000
2072.218663  	2317.000000
2072.570495  	2332.000000
2072.922357  	2371.000000
2073.274248  	2420.000000
2073.626170  	2470.000000
2073.978121  	2509.000000
2074.330103  	2547.000000
2074.682114  	2577.000000
2075.034154  	2599.000000
2075.386225  	2589.000000
2075.738326  	2576.000000
2076.090456  	2546.000000
2076.442616  	2497.000000
2076.794806  	2462.000000
2077.147026  	2423.000000
2077.499276  	2379.000000
2077.851555  	2346.000000
2078.203865  	2323.000000
2078.556204  	2311.000000
2078.908573  	2298.000000
2079.260972  	2298.000000
2079.613400  	2298.000000
2079.965859  	2282.000000
2080.318347  	2282.000000
2080.670865  	2283.000000
2081.023414  	2291.000000
2081.375991  	2282.000000
2081.728599  	2280.000000
2082.081237  	2292.000000
2082.433904  	2289.000000
2082.786601  	2285.000000
2083.139328  	2264.000000
2083.492085  	2257.000000
2083.844872  	2252.000000
2084.197688  	2250.000000
2084.550535  	2240.000000
2084.903411  	2221.000000
2085.256317  	2204.000000
2085.609253  	2185.000000
2085.962219  	2170.000000
2086.315214  	2155.000000
2086.668239  	2162.000000
2087.021295  	2154.000000
2087.374380  	2148.000000
2087.727495  	2135.000000
2088.080639  	2145.000000
2088.433814  	2160.000000
2088.787018  	2176.000000
2089.140252  	2199.000000
2089.493516  	2231.000000
2089.846810  	2255.000000
2090.200134  	2280.000000
2090.553488  	2295.000000
2090.906871  	2322.000000
2091.260284  	2327.000000
2091.613727  	2326.000000
2091.967200  	2328.000000
2092.320703  	2341.000000
2092.674235  	2355.000000
2093.027798  	2347.000000
2093.381390  	2327.000000
2093.735012  	2318.000000
2094.088664  	2303.000000
2094.442346  	2285.000000
2094.796057  	2273.000000
2095.149798  	2267.000000
2095.503570  	2240.000000
2095.857371  	2205.000000
2096.211202  	2196.000000
2096.565062  	2187.000000
2096.918953  	2175.000000
2097.272873  	2173.000000
2097.626823  	2168.000000
2097.980803  	2149.000000
2098.334813  	2141.000000
2098.688853  	2135.000000
2099.042923  	2135.000000
2099.397022  	2128.000000
2099.751151  	2116.000000
2100.105310  	2098.000000
2100.459499  	2091.000000
2100.813718  	2091.000000
2101.167966  	2094.000000
2101.522245  	2083.000000
2101.876553  	2087.000000
2102.230891  	2100.000000
2102.585259  	2106.000000
2102.939657  	2120.000000
2103.294084  	2123.000000
2103.648542  	2126.000000
2104.003029  	2149.000000
2104.357546  	2157.000000
2104.712093  	2191.000000
2105.066669  	2233.000000
2105.421276  	2266.000000
2105.775912  	2306.000000
2106.130579  	2335.000000
2106.485275  	2359.000000
2106.840000  	2368.000000
2107.194756  	2381.000000
2107.549542  	2399.000000
2107.904357  	2406.000000
2108.259202  	2406.000000
2108.614077  	2384.000000
2108.968982  	2367.000000
2109.323917  	2339.000000
2109.678881  	2324.000000
2110.033876  	2312.000000
2110.388900  	2305.000000
2110.743954  	2284.000000
2111.099038  	2257.000000
2111.454152  	2231.000000
2111.809295  	2211.000000
2112.164469  	2199.000000
2112.519672  	2175.000000
2112.874905  	2152.000000
2113.230168  	2129.000000
2113.585460  	2113.000000
2113.940783  	2098.000000
2114.296135  	2081.000000
2114.651518  	2059.000000
2115.006930  	2037.000000
2115.362372  	2040.000000
2115.717843  	2035.000000
2116.073345  	2022.000000
2116.428876  	2008.000000
2116.784437  	1994.000000
2117.140028  	1986.000000
2117.495649  	1987.000000
2117.851300  	1993.000000
2118.206981  	1991.000000
2118.562691  	1995.000000
2118.918431  	1983.000000
2119.274201  	1984.000000
2119.630001  	1996.000000
2119.985831  	2013.000000
