# m/z   	intensity 
1999.686087  	379.000000
2000.031713  	386.000000
2000.377370  	392.000000
2000.723056  	392.000000
2001.068772  	391.000000
2001.414517  	393.000000
2001.760293  	393.000000
2002.106098  	396.000000
2002.451933  	396.000000
2002.797798  	390.000000
2003.143693  	387.000000
2003.489618  	387.000000
2003.835573  	382.000000
2004.181557  	379.000000
2004.527571  	373.000000
2004.873615  	388.000000
2005.219689  	383.000000
2005.565793  	384.000000
2005.911927  	377.000000
2006.258090  	379.000000
2006.604283  	366.000000
2006.950506  	370.000000
2007.296759  	367.000000
2007.643042  	382.000000
2007.989355  	377.000000
2008.335697  	381.000000
2008.682069  	382.000000
2009.028471  	379.000000
2009.374903  	376.000000
2009.721365  	380.000000
2010.067857  	381.000000
2010.414378  	383.000000
2010.760929  	386.000000
2011.107511  	381.000000
2011.454121  	376.000000
2011.800762  	376.000000
2012.147433  	382.000000
2012.494133  	386.000000
2012.840864  	379.000000
2013.187624  	384.000000
2013.534414  	388.000000
2013.881233  	377.000000
2014.228083  	375.000000
2014.574963  	380.000000
2014.921872  	372.000000
2015.268811  	376.000000
2015.615780  	381.000000
2015.962779  	380.000000
2016.309807  	379.000000
2016.656866  	382.000000
2017.003954  	378.000000
2017.351072  	383.000000
2017.698220  	383.000000
2018.045398  	385.000000
2018.392606  	391.000000
2018.739843  	375.000000
2019.087111  	374.000000
2019.434408  	383.000000
2019.781735  	388.000000
2020.129092  	379.000000
2020.476478  	380.000000
2020.823895  	375.000000
2021.171341  	386.000000
2021.518817  	377.000000
2021.866323  	377.000000
2022.213859  	371.000000
2022.561425  	368.000000
2022.909020  	359.000000
2023.256646  	364.000000
2023.604301  	376.000000
2023.951986  	386.000000
2024.299701  	374.000000
2024.647445  	372.000000
2024.995220  	376.000000
2025.343024  	364.000000
2025.690858  	377.000000
2026.038722  	374.000000
2026.386616  	372.000000
2026.734540  	377.000000
2027.082494  	374.000000
2027.430477  	385.000000
2027.778490  	382.000000
2028.126533  	387.000000
2028.474606  	383.000000
2028.822709  	382.000000
2029.170841  	379.000000
2029.519004  	376.000000
2029.867196  	381.000000
2030.215418  	384.000000
2030.563670  	373.000000
2030.911951  	376.000000
2031.260263  	367.000000
2031.608604  	370.000000
2031.956976  	366.000000
2032.305377  	374.000000
2032.653808  	379.000000
2033.002268  	384.000000
2033.350759  	382.000000
2033.699279  	382.000000
2034.047829  	384.000000
2034.396410  	387.000000
2034.745019  	377.000000
2035.093659  	382.000000
2035.442329  	382.000000
2035.791028  	381.000000
2036.139757  	387.000000
2036.488516  	376.000000
2036.837305  	378.000000
2037.186124  	373.000000
2037.534973  	375.000000
2037.883851  	370.000000
2038.232759  	359.000000
2038.581697  	366.000000
2038.930665  	371.000000
2039.279663  	374.000000
2039.628691  	378.000000
2039.977748  	379.000000
2040.326835  	382.000000
2040.675952  	389.000000
