# m/z   	intensity 
1999.913244  	500.000000
2000.258846  	502.000000
2000.604477  	520.000000
2000.950138  	514.000000
2001.295829  	509.000000
2001.641550  	496.000000
2001.987300  	491.000000
2002.333081  	499.000000
2002.678891  	492.000000
2003.024730  	491.000000
2003.370600  	494.000000
2003.716499  	508.000000
2004.062428  	502.000000
2004.408387  	503.000000
2004.754376  	497.000000
2005.100394  	496.000000
2005.446442  	495.000000
2005.792520  	474.000000
2006.138628  	466.000000
2006.484765  	486.000000
2006.830932  	497.000000
2007.177129  	494.000000
2007.523356  	471.000000
2007.869612  	472.000000
2008.215898  	473.000000
2008.562214  	483.000000
2008.908560  	480.000000
2009.254935  	494.000000
2009.601340  	506.000000
2009.947775  	492.000000
2010.294240  	483.000000
2010.640735  	500.000000
2010.987259  	503.000000
2011.333813  	481.000000
2011.680397  	483.000000
2012.027010  	487.000000
2012.373654  	496.000000
2012.720327  	511.000000
2013.067030  	517.000000
2013.413762  	522.000000
2013.760524  	517.000000
2014.107317  	519.000000
2014.454138  	522.000000
2014.800990  	515.000000
2015.147871  	518.000000
2015.494783  	519.000000
2015.841724  	518.000000
2016.188694  	534.000000
2016.535695  	521.000000
2016.882725  	502.000000
2017.229785  	492.000000
2017.576874  	482.000000
2017.923994  	482.000000
2018.271143  	505.000000
2018.618322  	513.000000
2018.965531  	513.000000
2019.312769  	514.000000
2019.660038  	500.000000
2020.007336  	500.000000
2020.354663  	508.000000
2020.702021  	506.000000
2021.049408  	537.000000
2021.396825  	537.000000
2021.744272  	533.000000
2022.091749  	520.000000
2022.439255  	511.000000
2022.786791  	523.000000
2023.134357  	533.000000
2023.481953  	542.000000
2023.829578  	542.000000
2024.177233  	529.000000
2024.524918  	528.000000
2024.872633  	535.000000
2025.220377  	549.000000
2025.568151  	553.000000
2025.915955  	552.000000
2026.263789  	554.000000
2026.611653  	560.000000
2026.959546  	562.000000
2027.307469  	587.000000
2027.655421  	586.000000
2028.003404  	609.000000
2028.351416  	646.000000
2028.699458  	719.000000
2029.047530  	821.000000
2029.395632  	967.000000
2029.743763  	1101.000000
2030.091924  	1195.000000
2030.440115  	1237.000000
2030.788335  	1231.000000
2031.136586  	1228.000000
2031.484866  	1159.000000
2031.833176  	1059.000000
2032.181515  	985.000000
2032.529885  	892.000000
2032.878284  	829.000000
2033.226713  	769.000000
2033.575171  	722.000000
2033.923660  	675.000000
2034.272178  	636.000000
2034.620726  	615.000000
2034.969303  	578.000000
2035.317911  	545.000000
2035.666548  	554.000000
2036.015215  	581.000000
2036.363912  	585.000000
2036.712638  	583.000000
2037.061394  	577.000000
2037.410180  	574.000000
2037.758996  	571.000000
2038.107842  	567.000000
2038.456717  	556.000000
2038.805622  	563.000000
2039.154557  	573.000000
2039.503521  	562.000000
2039.852515  	560.000000
2040.201540  	581.000000
2040.550593  	576.000000
2040.899677  	568.000000
2041.248790  	555.000000
2041.597933  	552.000000
2041.947106  	578.000000
2042.296309  	588.000000
2042.645541  	605.000000
2042.994803  	622.000000
2043.344095  	626.000000
2043.693417  	632.000000
2044.042768  	631.000000
2044.392149  	650.000000
2044.741560  	657.000000
2045.091001  	654.000000
2045.440471  	661.000000
2045.789972  	658.000000
2046.139501  	655.000000
2046.489061  	686.000000
2046.838651  	698.000000
2047.188270  	683.000000
2047.537919  	641.000000
2047.887598  	602.000000
2048.237306  	589.000000
2048.587044  	568.000000
2048.936812  	552.000000
2049.286610  	557.000000
2049.636438  	554.000000
2049.986295  	557.000000
2050.336182  	554.000000
2050.686099  	547.000000
2051.036045  	557.000000
2051.386022  	582.000000
2051.736028  	613.000000
2052.086063  	646.000000
2052.436129  	680.000000
2052.786224  	705.000000
2053.136349  	721.000000
2053.486504  	728.000000
2053.836689  	700.000000
2054.186903  	683.000000
2054.537147  	661.000000
2054.887421  	637.000000
2055.237725  	634.000000
2055.588058  	619.000000
2055.938421  	594.000000
2056.288814  	585.000000
2056.639237  	576.000000
2056.989690  	585.000000
2057.340172  	598.000000
2057.690684  	589.000000
2058.041225  	591.000000
2058.391797  	582.000000
2058.742398  	586.000000
2059.093029  	594.000000
2059.443690  	598.000000
2059.794380  	587.000000
2060.145100  	577.000000
2060.495850  	585.000000
2060.846630  	574.000000
2061.197440  	597.000000
2061.548279  	656.000000
2061.899148  	704.000000
2062.250047  	728.000000
2062.600975  	740.000000
2062.951934  	725.000000
2063.302922  	717.000000
2063.653939  	697.000000
2064.004987  	677.000000
2064.356064  	651.000000
2064.707171  	621.000000
2065.058308  	606.000000
2065.409475  	580.000000
2065.760671  	569.000000
2066.111897  	551.000000
2066.463153  	545.000000
2066.814439  	552.000000
2067.165754  	572.000000
2067.517099  	599.000000
2067.868474  	638.000000
2068.219879  	685.000000
2068.571313  	720.000000
2068.922777  	710.000000
2069.274271  	715.000000
2069.625795  	717.000000
2069.977348  	707.000000
2070.328932  	710.000000
2070.680544  	692.000000
2071.032187  	660.000000
2071.383860  	648.000000
2071.735562  	642.000000
2072.087294  	617.000000
2072.439056  	584.000000
2072.790847  	565.000000
2073.142668  	564.000000
2073.494519  	548.000000
2073.846400  	539.000000
2074.198310  	543.000000
2074.550251  	549.000000
2074.902221  	559.000000
2075.254220  	562.000000
2075.606250  	541.000000
2075.958309  	544.000000
2076.310398  	562.000000
2076.662517  	555.000000
2077.014666  	557.000000
2077.366844  	555.000000
2077.719052  	558.000000
2078.071290  	576.000000
2078.423557  	594.000000
2078.775855  	589.000000
2079.128182  	571.000000
2079.480539  	560.000000
2079.832925  	559.000000
2080.185342  	550.000000
2080.537788  	532.000000
2080.890263  	526.000000
2081.242769  	524.000000
2081.595304  	537.000000
2081.947870  	529.000000
2082.300464  	517.000000
2082.653089  	525.000000
2083.005743  	530.000000
2083.358428  	513.000000
2083.711142  	538.000000
2084.063885  	559.000000
2084.416659  	576.000000
2084.769462  	597.000000
2085.122295  	610.000000
2085.475157  	591.000000
2085.828050  	583.000000
2086.180972  	563.000000
2086.533924  	545.000000
2086.886906  	557.000000
2087.239917  	580.000000
2087.592958  	593.000000
2087.946029  	605.000000
2088.299130  	592.000000
2088.652260  	565.000000
2089.005421  	566.000000
2089.358611  	582.000000
2089.711830  	602.000000
2090.065080  	585.000000
2090.418359  	568.000000
2090.771668  	545.000000
2091.125007  	528.000000
2091.478375  	523.000000
2091.831774  	516.000000
2092.185202  	521.000000
2092.538659  	521.000000
2092.892147  	526.000000
2093.245664  	514.000000
2093.599211  	525.000000
2093.952788  	522.000000
2094.306395  	512.000000
2094.660031  	516.000000
2095.013697  	493.000000
2095.367393  	476.000000
2095.721118  	479.000000
2096.074874  	497.000000
2096.428659  	501.000000
2096.782473  	525.000000
2097.136318  	525.000000
2097.490192  	514.000000
2097.844096  	519.000000
2098.198030  	508.000000
2098.551994  	490.000000
2098.905987  	494.000000
2099.260010  	505.000000
2099.614063  	532.000000
