# m/z   	intensity 
1999.913244  	415.000000
2000.258846  	435.000000
2000.604477  	445.000000
2000.950138  	463.000000
2001.295829  	456.000000
2001.641550  	452.000000
2001.987300  	438.000000
2002.333081  	428.000000
2002.678891  	441.000000
2003.024730  	457.000000
2003.370600  	456.000000
2003.716499  	453.000000
2004.062428  	443.000000
2004.408387  	435.000000
2004.754376  	420.000000
2005.100394  	410.000000
2005.446442  	404.000000
2005.792520  	390.000000
2006.138628  	398.000000
2006.484765  	417.000000
2006.830932  	439.000000
2007.177129  	451.000000
2007.523356  	451.000000
2007.869612  	449.000000
2008.215898  	435.000000
2008.562214  	430.000000
2008.908560  	436.000000
2009.254935  	442.000000
2009.601340  	437.000000
2009.947775  	411.000000
2010.294240  	406.000000
2010.640735  	405.000000
2010.987259  	432.000000
2011.333813  	453.000000
2011.680397  	463.000000
2012.027010  	470.000000
2012.373654  	475.000000
2012.720327  	464.000000
2013.067030  	467.000000
2013.413762  	459.000000
2013.760524  	445.000000
2014.107317  	455.000000
2014.454138  	466.000000
2014.800990  	471.000000
2015.147871  	459.000000
2015.494783  	437.000000
2015.841724  	422.000000
2016.188694  	427.000000
2016.535695  	423.000000
2016.882725  	433.000000
2017.229785  	428.000000
2017.576874  	429.000000
2017.923994  	442.000000
2018.271143  	440.000000
2018.618322  	449.000000
2018.965531  	429.000000
2019.312769  	426.000000
2019.660038  	424.000000
2020.007336  	421.000000
2020.354663  	403.000000
2020.702021  	413.000000
2021.049408  	431.000000
2021.396825  	450.000000
2021.744272  	457.000000
2022.091749  	445.000000
2022.439255  	447.000000
2022.786791  	460.000000
2023.134357  	456.000000
2023.481953  	445.000000
2023.829578  	445.000000
2024.177233  	444.000000
2024.524918  	451.000000
2024.872633  	457.000000
2025.220377  	451.000000
2025.568151  	448.000000
2025.915955  	448.000000
2026.263789  	447.000000
2026.611653  	453.000000
2026.959546  	461.000000
2027.307469  	467.000000
2027.655421  	454.000000
2028.003404  	467.000000
2028.351416  	468.000000
2028.699458  	466.000000
2029.047530  	469.000000
2029.395632  	495.000000
2029.743763  	531.000000
2030.091924  	563.000000
2030.440115  	583.000000
2030.788335  	623.000000
2031.136586  	666.000000
2031.484866  	681.000000
2031.833176  	681.000000
2032.181515  	650.000000
2032.529885  	616.000000
2032.878284  	593.000000
2033.226713  	577.000000
2033.575171  	554.000000
2033.923660  	535.000000
2034.272178  	508.000000
2034.620726  	491.000000
2034.969303  	477.000000
2035.317911  	459.000000
2035.666548  	468.000000
2036.015215  	476.000000
2036.363912  	463.000000
2036.712638  	439.000000
2037.061394  	425.000000
2037.410180  	431.000000
2037.758996  	446.000000
2038.107842  	458.000000
2038.456717  	456.000000
2038.805622  	444.000000
2039.154557  	449.000000
2039.503521  	450.000000
2039.852515  	436.000000
2040.201540  	437.000000
2040.550593  	443.000000
2040.899677  	438.000000
2041.248790  	449.000000
2041.597933  	449.000000
2041.947106  	449.000000
2042.296309  	454.000000
2042.645541  	439.000000
2042.994803  	442.000000
2043.344095  	427.000000
2043.693417  	426.000000
2044.042768  	435.000000
2044.392149  	459.000000
2044.741560  	469.000000
2045.091001  	471.000000
2045.440471  	477.000000
2045.789972  	466.000000
2046.139501  	463.000000
2046.489061  	452.000000
2046.838651  	457.000000
2047.188270  	451.000000
2047.537919  	460.000000
2047.887598  	480.000000
2048.237306  	480.000000
2048.587044  	485.000000
2048.936812  	484.000000
2049.286610  	463.000000
2049.636438  	445.000000
2049.986295  	448.000000
2050.336182  	452.000000
2050.686099  	470.000000
2051.036045  	484.000000
2051.386022  	494.000000
2051.736028  	504.000000
2052.086063  	514.000000
2052.436129  	534.000000
2052.786224  	546.000000
2053.136349  	587.000000
2053.486504  	610.000000
2053.836689  	650.000000
2054.186903  	641.000000
2054.537147  	613.000000
2054.887421  	605.000000
2055.237725  	600.000000
2055.588058  	585.000000
2055.938421  	552.000000
2056.288814  	519.000000
2056.639237  	520.000000
2056.989690  	524.000000
2057.340172  	524.000000
2057.690684  	503.000000
2058.041225  	481.000000
2058.391797  	463.000000
2058.742398  	461.000000
2059.093029  	456.000000
2059.443690  	455.000000
2059.794380  	470.000000
2060.145100  	479.000000
2060.495850  	486.000000
2060.846630  	475.000000
2061.197440  	463.000000
2061.548279  	460.000000
2061.899148  	471.000000
2062.250047  	500.000000
2062.600975  	502.000000
2062.951934  	510.000000
2063.302922  	513.000000
2063.653939  	514.000000
2064.004987  	510.000000
2064.356064  	505.000000
2064.707171  	479.000000
2065.058308  	477.000000
2065.409475  	464.000000
2065.760671  	454.000000
2066.111897  	439.000000
2066.463153  	454.000000
2066.814439  	443.000000
2067.165754  	441.000000
2067.517099  	452.000000
2067.868474  	493.000000
2068.219879  	521.000000
2068.571313  	542.000000
2068.922777  	563.000000
2069.274271  	595.000000
2069.625795  	630.000000
2069.977348  	621.000000
2070.328932  	626.000000
2070.680544  	606.000000
2071.032187  	585.000000
2071.383860  	561.000000
2071.735562  	522.000000
2072.087294  	516.000000
2072.439056  	513.000000
2072.790847  	494.000000
2073.142668  	462.000000
2073.494519  	457.000000
2073.846400  	457.000000
2074.198310  	442.000000
2074.550251  	439.000000
2074.902221  	444.000000
2075.254220  	463.000000
2075.606250  	467.000000
2075.958309  	471.000000
2076.310398  	475.000000
2076.662517  	485.000000
2077.014666  	492.000000
2077.366844  	495.000000
2077.719052  	477.000000
2078.071290  	473.000000
2078.423557  	500.000000
2078.775855  	498.000000
2079.128182  	495.000000
2079.480539  	461.000000
2079.832925  	449.000000
2080.185342  	435.000000
2080.537788  	452.000000
2080.890263  	447.000000
2081.242769  	455.000000
2081.595304  	458.000000
2081.947870  	437.000000
2082.300464  	435.000000
2082.653089  	438.000000
2083.005743  	461.000000
2083.358428  	471.000000
2083.711142  	449.000000
2084.063885  	441.000000
2084.416659  	452.000000
2084.769462  	461.000000
2085.122295  	493.000000
2085.475157  	509.000000
2085.828050  	506.000000
2086.180972  	498.000000
2086.533924  	479.000000
2086.886906  	483.000000
2087.239917  	505.000000
2087.592958  	522.000000
2087.946029  	519.000000
2088.299130  	489.000000
2088.652260  	479.000000
2089.005421  	483.000000
2089.358611  	460.000000
2089.711830  	443.000000
2090.065080  	434.000000
2090.418359  	427.000000
2090.771668  	439.000000
2091.125007  	443.000000
2091.478375  	428.000000
2091.831774  	438.000000
2092.185202  	457.000000
2092.538659  	473.000000
2092.892147  	466.000000
