# m/z   	intensity 
1999.686087  	2931.000000
2000.031713  	2930.000000
2000.377370  	2925.000000
2000.723056  	2912.000000
2001.068772  	2890.000000
2001.414517  	2876.000000
2001.760293  	2860.000000
2002.106098  	2864.000000
2002.451933  	2861.000000
2002.797798  	2856.000000
2003.143693  	2849.000000
2003.489618  	2850.000000
2003.835573  	2850.000000
2004.181557  	2852.000000
2004.527571  	2860.000000
2004.873615  	2865.000000
2005.219689  	2865.000000
2005.565793  	2867.000000
2005.911927  	2864.000000
2006.258090  	2854.000000
2006.604283  	2857.000000
2006.950506  	2870.000000
2007.296759  	2879.000000
2007.643042  	2878.000000
2007.989355  	2878.000000
2008.335697  	2886.000000
2008.682069  	2884.000000
2009.028471  	2885.000000
2009.374903  	2886.000000
2009.721365  	2884.000000
2010.067857  	2875.000000
2010.414378  	2883.000000
2010.760929  	2884.000000
2011.107511  	2886.000000
2011.454121  	2879.000000
2011.800762  	2876.000000
2012.147433  	2873.000000
2012.494133  	2861.000000
2012.840864  	2858.000000
2013.187624  	2855.000000
2013.534414  	2852.000000
2013.881233  	2848.000000
2014.228083  	2859.000000
2014.574963  	2858.000000
2014.921872  	2852.000000
2015.268811  	2855.000000
2015.615780  	2851.000000
2015.962779  	2858.000000
2016.309807  	2849.000000
2016.656866  	2840.000000
2017.003954  	2849.000000
2017.351072  	2856.000000
2017.698220  	2870.000000
2018.045398  	2865.000000
2018.392606  	2864.000000
2018.739843  	2868.000000
2019.087111  	2868.000000
2019.434408  	2871.000000
2019.781735  	2880.000000
2020.129092  	2873.000000
2020.476478  	2867.000000
2020.823895  	2880.000000
2021.171341  	2883.000000
2021.518817  	2885.000000
2021.866323  	2883.000000
2022.213859  	2872.000000
2022.561425  	2868.000000
2022.909020  	2857.000000
2023.256646  	2848.000000
2023.604301  	2829.000000
2023.951986  	2830.000000
2024.299701  	2823.000000
2024.647445  	2816.000000
2024.995220  	2802.000000
2025.343024  	2793.000000
2025.690858  	2786.000000
2026.038722  	2786.000000
2026.386616  	2776.000000
2026.734540  	2769.000000
2027.082494  	2773.000000
2027.430477  	2786.000000
2027.778490  	2797.000000
2028.126533  	2804.000000
2028.474606  	2803.000000
2028.822709  	2793.000000
2029.170841  	2810.000000
2029.519004  	2826.000000
2029.867196  	2850.000000
2030.215418  	2861.000000
2030.563670  	2877.000000
2030.911951  	2891.000000
2031.260263  	2895.000000
2031.608604  	2898.000000
2031.956976  	2900.000000
2032.305377  	2903.000000
2032.653808  	2910.000000
2033.002268  	2938.000000
2033.350759  	2968.000000
2033.699279  	3009.000000
2034.047829  	3060.000000
2034.396410  	3125.000000
2034.745019  	3211.000000
2035.093659  	3298.000000
2035.442329  	3413.000000
2035.791028  	3526.000000
2036.139757  	3634.000000
2036.488516  	3721.000000
2036.837305  	3775.000000
2037.186124  	3806.000000
2037.534973  	3802.000000
2037.883851  	3751.000000
2038.232759  	3672.000000
2038.581697  	3578.000000
2038.930665  	3484.000000
2039.279663  	3385.000000
