# m/z   	intensity 
1999.686087  	777.000000
2000.031713  	770.000000
2000.377370  	769.000000
2000.723056  	758.000000
2001.068772  	759.000000
2001.414517  	761.000000
2001.760293  	773.000000
2002.106098  	777.000000
2002.451933  	780.000000
2002.797798  	773.000000
2003.143693  	781.000000
2003.489618  	791.000000
2003.835573  	785.000000
2004.181557  	790.000000
2004.527571  	783.000000
2004.873615  	780.000000
2005.219689  	788.000000
2005.565793  	781.000000
2005.911927  	781.000000
2006.258090  	784.000000
2006.604283  	782.000000
2006.950506  	794.000000
2007.296759  	793.000000
2007.643042  	793.000000
2007.989355  	790.000000
2008.335697  	782.000000
2008.682069  	787.000000
2009.028471  	792.000000
2009.374903  	791.000000
2009.721365  	799.000000
2010.067857  	789.000000
2010.414378  	781.000000
2010.760929  	770.000000
2011.107511  	768.000000
2011.454121  	770.000000
2011.800762  	770.000000
2012.147433  	767.000000
2012.494133  	777.000000
2012.840864  	779.000000
2013.187624  	776.000000
2013.534414  	775.000000
2013.881233  	776.000000
2014.228083  	777.000000
2014.574963  	774.000000
2014.921872  	771.000000
2015.268811  	769.000000
2015.615780  	764.000000
2015.962779  	751.000000
2016.309807  	758.000000
2016.656866  	763.000000
2017.003954  	764.000000
2017.351072  	774.000000
2017.698220  	776.000000
2018.045398  	775.000000
2018.392606  	780.000000
2018.739843  	784.000000
2019.087111  	785.000000
2019.434408  	789.000000
2019.781735  	805.000000
2020.129092  	810.000000
2020.476478  	814.000000
2020.823895  	809.000000
2021.171341  	810.000000
2021.518817  	808.000000
2021.866323  	814.000000
2022.213859  	818.000000
2022.561425  	811.000000
2022.909020  	799.000000
2023.256646  	795.000000
2023.604301  	790.000000
2023.951986  	789.000000
2024.299701  	781.000000
2024.647445  	777.000000
2024.995220  	772.000000
2025.343024  	780.000000
2025.690858  	787.000000
2026.038722  	776.000000
2026.386616  	771.000000
2026.734540  	769.000000
2027.082494  	776.000000
2027.430477  	773.000000
2027.778490  	775.000000
2028.126533  	771.000000
2028.474606  	783.000000
2028.822709  	791.000000
2029.170841  	791.000000
2029.519004  	795.000000
2029.867196  	806.000000
2030.215418  	816.000000
2030.563670  	815.000000
2030.911951  	825.000000
