# m/z   	intensity 
1999.913244  	97.000000
2000.258846  	116.000000
2000.604477  	117.000000
2000.950138  	107.000000
2001.295829  	106.000000
2001.641550  	107.000000
2001.987300  	102.000000
2002.333081  	100.000000
2002.678891  	110.000000
2003.024730  	117.000000
2003.370600  	109.000000
2003.716499  	108.000000
2004.062428  	113.000000
2004.408387  	120.000000
2004.754376  	118.000000
2005.100394  	114.000000
2005.446442  	116.000000
2005.792520  	110.000000
2006.138628  	112.000000
2006.484765  	118.000000
2006.830932  	122.000000
2007.177129  	123.000000
2007.523356  	107.000000
2007.869612  	119.000000
2008.215898  	125.000000
2008.562214  	127.000000
2008.908560  	122.000000
2009.254935  	114.000000
2009.601340  	99.000000
2009.947775  	111.000000
2010.294240  	113.000000
2010.640735  	120.000000
2010.987259  	114.000000
2011.333813  	108.000000
2011.680397  	104.000000
2012.027010  	103.000000
2012.373654  	103.000000
2012.720327  	107.000000
2013.067030  	104.000000
2013.413762  	107.000000
2013.760524  	125.000000
2014.107317  	131.000000
2014.454138  	116.000000
2014.800990  	109.000000
2015.147871  	112.000000
2015.494783  	120.000000
2015.841724  	119.000000
2016.188694  	115.000000
2016.535695  	119.000000
2016.882725  	117.000000
2017.229785  	114.000000
2017.576874  	116.000000
2017.923994  	110.000000
2018.271143  	111.000000
2018.618322  	104.000000
2018.965531  	110.000000
2019.312769  	100.000000
2019.660038  	97.000000
2020.007336  	113.000000
2020.354663  	111.000000
2020.702021  	107.000000
2021.049408  	114.000000
2021.396825  	111.000000
2021.744272  	120.000000
2022.091749  	124.000000
2022.439255  	114.000000
2022.786791  	106.000000
2023.134357  	104.000000
2023.481953  	106.000000
2023.829578  	110.000000
2024.177233  	108.000000
2024.524918  	112.000000
2024.872633  	121.000000
2025.220377  	118.000000
2025.568151  	124.000000
2025.915955  	121.000000
2026.263789  	116.000000
2026.611653  	114.000000
2026.959546  	127.000000
2027.307469  	133.000000
2027.655421  	139.000000
2028.003404  	140.000000
2028.351416  	135.000000
2028.699458  	144.000000
2029.047530  	170.000000
2029.395632  	204.000000
2029.743763  	228.000000
2030.091924  	271.000000
2030.440115  	299.000000
2030.788335  	287.000000
2031.136586  	273.000000
2031.484866  	257.000000
2031.833176  	232.000000
2032.181515  	230.000000
2032.529885  	212.000000
2032.878284  	186.000000
2033.226713  	166.000000
2033.575171  	164.000000
2033.923660  	158.000000
2034.272178  	151.000000
2034.620726  	145.000000
2034.969303  	145.000000
2035.317911  	136.000000
2035.666548  	127.000000
2036.015215  	131.000000
2036.363912  	131.000000
2036.712638  	143.000000
2037.061394  	143.000000
2037.410180  	143.000000
2037.758996  	128.000000
2038.107842  	131.000000
2038.456717  	132.000000
2038.805622  	120.000000
2039.154557  	128.000000
2039.503521  	129.000000
2039.852515  	124.000000
2040.201540  	115.000000
2040.550593  	116.000000
2040.899677  	117.000000
2041.248790  	112.000000
2041.597933  	122.000000
2041.947106  	125.000000
2042.296309  	133.000000
2042.645541  	138.000000
2042.994803  	136.000000
2043.344095  	135.000000
2043.693417  	125.000000
2044.042768  	123.000000
2044.392149  	130.000000
2044.741560  	127.000000
2045.091001  	136.000000
2045.440471  	153.000000
2045.789972  	155.000000
2046.139501  	146.000000
2046.489061  	142.000000
2046.838651  	140.000000
2047.188270  	142.000000
2047.537919  	128.000000
2047.887598  	122.000000
2048.237306  	124.000000
2048.587044  	138.000000
2048.936812  	138.000000
2049.286610  	127.000000
2049.636438  	109.000000
2049.986295  	108.000000
2050.336182  	120.000000
2050.686099  	122.000000
2051.036045  	135.000000
2051.386022  	144.000000
2051.736028  	152.000000
2052.086063  	167.000000
2052.436129  	173.000000
2052.786224  	186.000000
2053.136349  	193.000000
2053.486504  	191.000000
2053.836689  	183.000000
2054.186903  	178.000000
2054.537147  	172.000000
2054.887421  	156.000000
2055.237725  	152.000000
2055.588058  	147.000000
2055.938421  	145.000000
2056.288814  	144.000000
2056.639237  	143.000000
2056.989690  	132.000000
2057.340172  	137.000000
2057.690684  	145.000000
2058.041225  	153.000000
2058.391797  	156.000000
2058.742398  	135.000000
2059.093029  	132.000000
2059.443690  	131.000000
2059.794380  	129.000000
2060.145100  	130.000000
2060.495850  	131.000000
2060.846630  	128.000000
2061.197440  	149.000000
2061.548279  	163.000000
2061.899148  	165.000000
2062.250047  	165.000000
2062.600975  	161.000000
2062.951934  	165.000000
2063.302922  	156.000000
2063.653939  	147.000000
2064.004987  	147.000000
2064.356064  	152.000000
2064.707171  	160.000000
2065.058308  	143.000000
2065.409475  	131.000000
2065.760671  	141.000000
2066.111897  	149.000000
2066.463153  	146.000000
2066.814439  	139.000000
2067.165754  	135.000000
2067.517099  	142.000000
2067.868474  	152.000000
2068.219879  	181.000000
2068.571313  	177.000000
2068.922777  	177.000000
2069.274271  	165.000000
2069.625795  	158.000000
2069.977348  	161.000000
2070.328932  	168.000000
2070.680544  	170.000000
2071.032187  	174.000000
2071.383860  	170.000000
2071.735562  	160.000000
2072.087294  	157.000000
2072.439056  	141.000000
2072.790847  	142.000000
2073.142668  	138.000000
2073.494519  	135.000000
2073.846400  	132.000000
2074.198310  	127.000000
2074.550251  	121.000000
2074.902221  	136.000000
2075.254220  	141.000000
2075.606250  	142.000000
2075.958309  	137.000000
2076.310398  	154.000000
2076.662517  	155.000000
2077.014666  	144.000000
2077.366844  	138.000000
2077.719052  	129.000000
2078.071290  	140.000000
2078.423557  	142.000000
2078.775855  	133.000000
2079.128182  	132.000000
2079.480539  	130.000000
2079.832925  	126.000000
2080.185342  	124.000000
2080.537788  	131.000000
2080.890263  	130.000000
2081.242769  	123.000000
2081.595304  	122.000000
2081.947870  	126.000000
2082.300464  	122.000000
2082.653089  	119.000000
2083.005743  	122.000000
2083.358428  	125.000000
2083.711142  	138.000000
2084.063885  	140.000000
2084.416659  	146.000000
2084.769462  	154.000000
2085.122295  	145.000000
2085.475157  	150.000000
2085.828050  	146.000000
2086.180972  	155.000000
2086.533924  	154.000000
2086.886906  	142.000000
2087.239917  	148.000000
2087.592958  	150.000000
2087.946029  	149.000000
2088.299130  	142.000000
2088.652260  	140.000000
2089.005421  	152.000000
2089.358611  	139.000000
2089.711830  	128.000000
2090.065080  	128.000000
2090.418359  	137.000000
2090.771668  	141.000000
2091.125007  	137.000000
2091.478375  	135.000000
2091.831774  	136.000000
2092.185202  	130.000000
2092.538659  	124.000000
2092.892147  	128.000000
2093.245664  	119.000000
2093.599211  	113.000000
2093.952788  	122.000000
2094.306395  	133.000000
2094.660031  	128.000000
2095.013697  	124.000000
2095.367393  	129.000000
2095.721118  	129.000000
2096.074874  	126.000000
2096.428659  	122.000000
2096.782473  	105.000000
2097.136318  	117.000000
2097.490192  	125.000000
2097.844096  	125.000000
2098.198030  	127.000000
2098.551994  	129.000000
2098.905987  	114.000000
2099.260010  	118.000000
2099.614063  	128.000000
2099.968146  	148.000000
2100.322258  	156.000000
2100.676400  	172.000000
2101.030572  	171.000000
2101.384774  	164.000000
2101.739005  	168.000000
2102.093266  	179.000000
2102.447557  	181.000000
2102.801878  	187.000000
2103.156228  	169.000000
2103.510608  	176.000000
2103.865018  	170.000000
2104.219458  	156.000000
2104.573927  	156.000000
2104.928427  	149.000000
2105.282956  	132.000000
2105.637514  	113.000000
2105.992103  	117.000000
2106.346721  	124.000000
2106.701369  	129.000000
2107.056046  	123.000000
2107.410754  	107.000000
2107.765491  	99.000000
2108.120258  	112.000000
2108.475055  	113.000000
