# m/z   	intensity 
1999.686087  	1909.000000
2000.031713  	1896.000000
2000.377370  	1882.000000
2000.723056  	1858.000000
2001.068772  	1862.000000
2001.414517  	1873.000000
2001.760293  	1870.000000
2002.106098  	1867.000000
2002.451933  	1859.000000
2002.797798  	1857.000000
2003.143693  	1868.000000
2003.489618  	1874.000000
2003.835573  	1870.000000
2004.181557  	1874.000000
2004.527571  	1897.000000
2004.873615  	1898.000000
2005.219689  	1899.000000
2005.565793  	1907.000000
2005.911927  	1925.000000
2006.258090  	1924.000000
2006.604283  	1929.000000
2006.950506  	1933.000000
2007.296759  	1939.000000
2007.643042  	1944.000000
2007.989355  	1957.000000
2008.335697  	1964.000000
2008.682069  	1959.000000
2009.028471  	1948.000000
2009.374903  	1938.000000
2009.721365  	1940.000000
2010.067857  	1934.000000
2010.414378  	1933.000000
2010.760929  	1928.000000
2011.107511  	1919.000000
2011.454121  	1909.000000
2011.800762  	1899.000000
2012.147433  	1893.000000
2012.494133  	1886.000000
2012.840864  	1887.000000
2013.187624  	1889.000000
2013.534414  	1878.000000
2013.881233  	1877.000000
2014.228083  	1878.000000
2014.574963  	1870.000000
2014.921872  	1874.000000
2015.268811  	1873.000000
2015.615780  	1868.000000
2015.962779  	1860.000000
2016.309807  	1846.000000
2016.656866  	1853.000000
2017.003954  	1870.000000
2017.351072  	1876.000000
2017.698220  	1888.000000
2018.045398  	1882.000000
2018.392606  	1885.000000
2018.739843  	1900.000000
2019.087111  	1912.000000
2019.434408  	1928.000000
2019.781735  	1926.000000
2020.129092  	1944.000000
2020.476478  	1948.000000
2020.823895  	1946.000000
2021.171341  	1952.000000
2021.518817  	1955.000000
2021.866323  	1952.000000
2022.213859  	1958.000000
2022.561425  	1941.000000
2022.909020  	1934.000000
2023.256646  	1930.000000
2023.604301  	1922.000000
2023.951986  	1914.000000
2024.299701  	1907.000000
2024.647445  	1896.000000
2024.995220  	1893.000000
2025.343024  	1878.000000
2025.690858  	1874.000000
2026.038722  	1868.000000
2026.386616  	1857.000000
2026.734540  	1869.000000
2027.082494  	1884.000000
2027.430477  	1900.000000
2027.778490  	1913.000000
2028.126533  	1923.000000
2028.474606  	1932.000000
2028.822709  	1934.000000
2029.170841  	1943.000000
2029.519004  	1944.000000
2029.867196  	1949.000000
2030.215418  	1948.000000
2030.563670  	1953.000000
2030.911951  	1962.000000
2031.260263  	1967.000000
2031.608604  	1978.000000
2031.956976  	1998.000000
2032.305377  	2009.000000
2032.653808  	2022.000000
2033.002268  	2027.000000
2033.350759  	2028.000000
2033.699279  	2040.000000
2034.047829  	2081.000000
2034.396410  	2133.000000
2034.745019  	2204.000000
2035.093659  	2300.000000
2035.442329  	2418.000000
2035.791028  	2561.000000
2036.139757  	2711.000000
2036.488516  	2858.000000
2036.837305  	2973.000000
2037.186124  	3066.000000
2037.534973  	3103.000000
2037.883851  	3094.000000
2038.232759  	3033.000000
2038.581697  	2937.000000
2038.930665  	2820.000000
2039.279663  	2713.000000
2039.628691  	2600.000000
2039.977748  	2479.000000
2040.326835  	2373.000000
2040.675952  	2282.000000
2041.025099  	2220.000000
2041.374276  	2152.000000
2041.723483  	2115.000000
2042.072719  	2075.000000
2042.421985  	2062.000000
2042.771282  	2043.000000
2043.120607  	2029.000000
2043.469963  	2028.000000
2043.819349  	2027.000000
2044.168764  	2024.000000
2044.518210  	2024.000000
2044.867685  	2016.000000
2045.217190  	2014.000000
2045.566724  	2006.000000
