# m/z   	intensity 
1999.913244  	62.000000
2000.258846  	63.000000
2000.604477  	53.000000
2000.950138  	52.000000
2001.295829  	59.000000
2001.641550  	66.000000
2001.987300  	69.000000
2002.333081  	66.000000
2002.678891  	65.000000
2003.024730  	62.000000
2003.370600  	62.000000
2003.716499  	54.000000
2004.062428  	60.000000
2004.408387  	61.000000
2004.754376  	63.000000
2005.100394  	55.000000
2005.446442  	60.000000
2005.792520  	56.000000
2006.138628  	57.000000
2006.484765  	59.000000
2006.830932  	53.000000
2007.177129  	62.000000
2007.523356  	60.000000
2007.869612  	57.000000
2008.215898  	59.000000
2008.562214  	64.000000
2008.908560  	56.000000
2009.254935  	57.000000
2009.601340  	71.000000
2009.947775  	73.000000
2010.294240  	56.000000
2010.640735  	50.000000
2010.987259  	56.000000
2011.333813  	62.000000
2011.680397  	64.000000
2012.027010  	57.000000
2012.373654  	73.000000
2012.720327  	74.000000
2013.067030  	67.000000
2013.413762  	54.000000
2013.760524  	45.000000
2014.107317  	58.000000
2014.454138  	66.000000
2014.800990  	70.000000
2015.147871  	78.000000
2015.494783  	72.000000
2015.841724  	69.000000
2016.188694  	67.000000
2016.535695  	60.000000
2016.882725  	61.000000
2017.229785  	59.000000
2017.576874  	53.000000
2017.923994  	68.000000
2018.271143  	55.000000
2018.618322  	44.000000
2018.965531  	51.000000
2019.312769  	50.000000
2019.660038  	44.000000
2020.007336  	62.000000
2020.354663  	62.000000
2020.702021  	56.000000
2021.049408  	52.000000
2021.396825  	52.000000
2021.744272  	56.000000
2022.091749  	55.000000
2022.439255  	61.000000
2022.786791  	62.000000
2023.134357  	54.000000
2023.481953  	63.000000
2023.829578  	80.000000
2024.177233  	79.000000
2024.524918  	65.000000
2024.872633  	61.000000
2025.220377  	60.000000
2025.568151  	61.000000
2025.915955  	61.000000
2026.263789  	61.000000
2026.611653  	79.000000
2026.959546  	79.000000
2027.307469  	84.000000
2027.655421  	77.000000
2028.003404  	82.000000
2028.351416  	101.000000
2028.699458  	107.000000
2029.047530  	122.000000
2029.395632  	137.000000
2029.743763  	150.000000
2030.091924  	154.000000
2030.440115  	182.000000
2030.788335  	196.000000
2031.136586  	196.000000
2031.484866  	178.000000
2031.833176  	161.000000
2032.181515  	136.000000
2032.529885  	126.000000
2032.878284  	127.000000
2033.226713  	115.000000
2033.575171  	100.000000
2033.923660  	78.000000
2034.272178  	87.000000
2034.620726  	88.000000
2034.969303  	92.000000
2035.317911  	95.000000
2035.666548  	76.000000
2036.015215  	77.000000
2036.363912  	78.000000
2036.712638  	69.000000
2037.061394  	72.000000
2037.410180  	67.000000
2037.758996  	88.000000
2038.107842  	72.000000
2038.456717  	70.000000
2038.805622  	60.000000
2039.154557  	74.000000
2039.503521  	69.000000
2039.852515  	65.000000
2040.201540  	60.000000
