# m/z   	intensity 
1999.913244  	97.000000
2000.258846  	107.000000
2000.604477  	97.000000
2000.950138  	87.000000
2001.295829  	81.000000
2001.641550  	92.000000
2001.987300  	104.000000
2002.333081  	102.000000
2002.678891  	108.000000
2003.024730  	103.000000
2003.370600  	103.000000
2003.716499  	103.000000
2004.062428  	93.000000
2004.408387  	97.000000
2004.754376  	95.000000
2005.100394  	91.000000
2005.446442  	90.000000
2005.792520  	101.000000
2006.138628  	100.000000
2006.484765  	92.000000
2006.830932  	85.000000
2007.177129  	89.000000
2007.523356  	93.000000
2007.869612  	98.000000
2008.215898  	94.000000
2008.562214  	91.000000
2008.908560  	89.000000
2009.254935  	74.000000
2009.601340  	78.000000
2009.947775  	86.000000
2010.294240  	91.000000
2010.640735  	103.000000
2010.987259  	119.000000
2011.333813  	101.000000
2011.680397  	96.000000
2012.027010  	100.000000
2012.373654  	92.000000
2012.720327  	96.000000
2013.067030  	99.000000
2013.413762  	110.000000
2013.760524  	101.000000
2014.107317  	96.000000
2014.454138  	91.000000
2014.800990  	92.000000
2015.147871  	79.000000
2015.494783  	80.000000
2015.841724  	85.000000
2016.188694  	103.000000
2016.535695  	90.000000
2016.882725  	97.000000
2017.229785  	101.000000
2017.576874  	91.000000
2017.923994  	88.000000
2018.271143  	81.000000
2018.618322  	87.000000
2018.965531  	100.000000
2019.312769  	92.000000
2019.660038  	96.000000
2020.007336  	90.000000
2020.354663  	99.000000
2020.702021  	110.000000
2021.049408  	115.000000
2021.396825  	118.000000
2021.744272  	117.000000
2022.091749  	113.000000
2022.439255  	110.000000
2022.786791  	105.000000
2023.134357  	90.000000
2023.481953  	91.000000
2023.829578  	93.000000
2024.177233  	106.000000
2024.524918  	94.000000
2024.872633  	100.000000
2025.220377  	105.000000
2025.568151  	112.000000
2025.915955  	106.000000
2026.263789  	107.000000
2026.611653  	103.000000
2026.959546  	105.000000
2027.307469  	115.000000
2027.655421  	133.000000
2028.003404  	148.000000
2028.351416  	152.000000
2028.699458  	160.000000
2029.047530  	187.000000
2029.395632  	212.000000
2029.743763  	212.000000
2030.091924  	217.000000
2030.440115  	220.000000
2030.788335  	211.000000
2031.136586  	210.000000
2031.484866  	203.000000
2031.833176  	189.000000
2032.181515  	181.000000
2032.529885  	166.000000
2032.878284  	152.000000
2033.226713  	139.000000
2033.575171  	124.000000
2033.923660  	119.000000
2034.272178  	121.000000
2034.620726  	127.000000
2034.969303  	125.000000
2035.317911  	126.000000
2035.666548  	128.000000
2036.015215  	126.000000
2036.363912  	112.000000
2036.712638  	118.000000
2037.061394  	135.000000
2037.410180  	129.000000
2037.758996  	116.000000
2038.107842  	109.000000
2038.456717  	112.000000
2038.805622  	105.000000
2039.154557  	109.000000
2039.503521  	103.000000
2039.852515  	101.000000
2040.201540  	103.000000
2040.550593  	108.000000
2040.899677  	119.000000
2041.248790  	114.000000
2041.597933  	106.000000
2041.947106  	102.000000
2042.296309  	94.000000
2042.645541  	105.000000
2042.994803  	108.000000
2043.344095  	116.000000
2043.693417  	118.000000
2044.042768  	124.000000
2044.392149  	115.000000
2044.741560  	120.000000
2045.091001  	128.000000
2045.440471  	127.000000
2045.789972  	132.000000
2046.139501  	142.000000
2046.489061  	132.000000
2046.838651  	135.000000
2047.188270  	133.000000
2047.537919  	128.000000
2047.887598  	114.000000
2048.237306  	106.000000
2048.587044  	99.000000
2048.936812  	97.000000
2049.286610  	101.000000
2049.636438  	112.000000
2049.986295  	96.000000
2050.336182  	112.000000
2050.686099  	114.000000
2051.036045  	119.000000
2051.386022  	110.000000
2051.736028  	116.000000
2052.086063  	114.000000
2052.436129  	111.000000
2052.786224  	115.000000
2053.136349  	112.000000
2053.486504  	111.000000
2053.836689  	112.000000
2054.186903  	114.000000
2054.537147  	107.000000
2054.887421  	94.000000
2055.237725  	106.000000
2055.588058  	102.000000
2055.938421  	110.000000
2056.288814  	119.000000
2056.639237  	124.000000
2056.989690  	110.000000
2057.340172  	104.000000
2057.690684  	103.000000
2058.041225  	109.000000
2058.391797  	118.000000
2058.742398  	115.000000
2059.093029  	119.000000
2059.443690  	110.000000
2059.794380  	109.000000
2060.145100  	106.000000
2060.495850  	110.000000
2060.846630  	114.000000
2061.197440  	115.000000
2061.548279  	118.000000
2061.899148  	117.000000
2062.250047  	111.000000
2062.600975  	125.000000
2062.951934  	143.000000
2063.302922  	140.000000
2063.653939  	125.000000
2064.004987  	118.000000
2064.356064  	122.000000
2064.707171  	137.000000
2065.058308  	133.000000
2065.409475  	123.000000
2065.760671  	109.000000
2066.111897  	106.000000
2066.463153  	94.000000
2066.814439  	104.000000
2067.165754  	110.000000
2067.517099  	121.000000
2067.868474  	115.000000
2068.219879  	114.000000
2068.571313  	97.000000
2068.922777  	105.000000
2069.274271  	113.000000
2069.625795  	113.000000
2069.977348  	105.000000
2070.328932  	107.000000
2070.680544  	107.000000
2071.032187  	97.000000
2071.383860  	102.000000
2071.735562  	96.000000
2072.087294  	104.000000
2072.439056  	102.000000
2072.790847  	109.000000
2073.142668  	104.000000
2073.494519  	111.000000
2073.846400  	107.000000
2074.198310  	99.000000
2074.550251  	102.000000
2074.902221  	94.000000
2075.254220  	101.000000
2075.606250  	101.000000
2075.958309  	102.000000
2076.310398  	110.000000
2076.662517  	118.000000
2077.014666  	102.000000
2077.366844  	100.000000
2077.719052  	107.000000
2078.071290  	110.000000
2078.423557  	100.000000
2078.775855  	107.000000
2079.128182  	119.000000
