# m/z   	intensity 
1999.913244  	437.000000
2000.258846  	437.000000
2000.604477  	437.000000
2000.950138  	447.000000
2001.295829  	441.000000
2001.641550  	433.000000
2001.987300  	425.000000
2002.333081  	431.000000
2002.678891  	440.000000
2003.024730  	452.000000
2003.370600  	450.000000
2003.716499  	449.000000
2004.062428  	453.000000
2004.408387  	437.000000
2004.754376  	423.000000
2005.100394  	428.000000
2005.446442  	426.000000
2005.792520  	430.000000
2006.138628  	450.000000
2006.484765  	444.000000
2006.830932  	451.000000
2007.177129  	438.000000
2007.523356  	439.000000
2007.869612  	435.000000
2008.215898  	433.000000
2008.562214  	441.000000
2008.908560  	448.000000
2009.254935  	455.000000
2009.601340  	447.000000
2009.947775  	447.000000
2010.294240  	450.000000
2010.640735  	456.000000
2010.987259  	441.000000
2011.333813  	452.000000
2011.680397  	453.000000
2012.027010  	458.000000
2012.373654  	452.000000
2012.720327  	454.000000
2013.067030  	442.000000
2013.413762  	443.000000
2013.760524  	443.000000
2014.107317  	455.000000
2014.454138  	484.000000
2014.800990  	482.000000
2015.147871  	477.000000
2015.494783  	454.000000
2015.841724  	437.000000
2016.188694  	428.000000
2016.535695  	449.000000
2016.882725  	453.000000
2017.229785  	424.000000
2017.576874  	407.000000
2017.923994  	402.000000
2018.271143  	413.000000
2018.618322  	406.000000
2018.965531  	404.000000
2019.312769  	416.000000
2019.660038  	423.000000
2020.007336  	424.000000
2020.354663  	411.000000
2020.702021  	404.000000
2021.049408  	422.000000
2021.396825  	426.000000
2021.744272  	427.000000
2022.091749  	444.000000
2022.439255  	446.000000
2022.786791  	454.000000
2023.134357  	460.000000
2023.481953  	457.000000
2023.829578  	431.000000
2024.177233  	414.000000
2024.524918  	414.000000
2024.872633  	434.000000
2025.220377  	468.000000
2025.568151  	448.000000
2025.915955  	439.000000
2026.263789  	447.000000
2026.611653  	472.000000
2026.959546  	476.000000
2027.307469  	485.000000
2027.655421  	498.000000
2028.003404  	502.000000
2028.351416  	502.000000
2028.699458  	521.000000
2029.047530  	547.000000
2029.395632  	588.000000
2029.743763  	626.000000
2030.091924  	694.000000
2030.440115  	734.000000
2030.788335  	756.000000
2031.136586  	762.000000
2031.484866  	759.000000
2031.833176  	746.000000
2032.181515  	682.000000
2032.529885  	640.000000
2032.878284  	614.000000
2033.226713  	562.000000
2033.575171  	534.000000
2033.923660  	510.000000
2034.272178  	498.000000
2034.620726  	491.000000
2034.969303  	488.000000
2035.317911  	472.000000
2035.666548  	451.000000
2036.015215  	450.000000
2036.363912  	451.000000
2036.712638  	469.000000
2037.061394  	468.000000
2037.410180  	455.000000
2037.758996  	458.000000
2038.107842  	466.000000
2038.456717  	461.000000
2038.805622  	453.000000
2039.154557  	446.000000
2039.503521  	441.000000
2039.852515  	442.000000
2040.201540  	461.000000
2040.550593  	460.000000
2040.899677  	462.000000
2041.248790  	462.000000
2041.597933  	458.000000
2041.947106  	434.000000
2042.296309  	451.000000
2042.645541  	457.000000
2042.994803  	464.000000
2043.344095  	451.000000
2043.693417  	477.000000
2044.042768  	492.000000
2044.392149  	497.000000
2044.741560  	506.000000
2045.091001  	519.000000
2045.440471  	526.000000
2045.789972  	523.000000
2046.139501  	509.000000
2046.489061  	491.000000
2046.838651  	486.000000
2047.188270  	483.000000
2047.537919  	478.000000
2047.887598  	476.000000
2048.237306  	491.000000
2048.587044  	490.000000
2048.936812  	469.000000
2049.286610  	458.000000
2049.636438  	450.000000
2049.986295  	453.000000
2050.336182  	450.000000
