# m/z   	intensity 
1999.240812  	168.000000
1999.585825  	168.000000
1999.930868  	182.000000
2000.275940  	189.000000
2000.621043  	184.000000
2000.966174  	180.000000
2001.311336  	171.000000
2001.656528  	169.000000
2002.001749  	166.000000
2002.347000  	158.000000
2002.692280  	159.000000
2003.037591  	160.000000
2003.382931  	160.000000
2003.728301  	166.000000
2004.073700  	172.000000
2004.419130  	168.000000
2004.764589  	166.000000
2005.110078  	171.000000
2005.455596  	180.000000
2005.801145  	176.000000
2006.146723  	177.000000
2006.492330  	178.000000
2006.837968  	162.000000
2007.183635  	149.000000
2007.529332  	161.000000
2007.875059  	165.000000
2008.220815  	160.000000
2008.566602  	160.000000
2008.912417  	169.000000
2009.258263  	176.000000
2009.604139  	169.000000
2009.950044  	178.000000
2010.295979  	181.000000
2010.641943  	176.000000
2010.987938  	169.000000
2011.333962  	164.000000
2011.680016  	168.000000
2012.026099  	164.000000
2012.372213  	173.000000
2012.718356  	169.000000
2013.064528  	169.000000
2013.410731  	177.000000
2013.756963  	190.000000
2014.103225  	182.000000
2014.449517  	175.000000
2014.795839  	171.000000
2015.142190  	176.000000
2015.488571  	175.000000
2015.834982  	175.000000
2016.181422  	173.000000
2016.527892  	160.000000
2016.874392  	168.000000
2017.220922  	177.000000
2017.567481  	193.000000
2017.914070  	183.000000
2018.260689  	177.000000
2018.607338  	166.000000
2018.954016  	173.000000
2019.300724  	171.000000
2019.647462  	172.000000
2019.994230  	181.000000
2020.341027  	179.000000
2020.687854  	172.000000
2021.034711  	177.000000
2021.381597  	178.000000
2021.728514  	178.000000
2022.075460  	178.000000
2022.422435  	189.000000
2022.769441  	193.000000
2023.116476  	190.000000
2023.463541  	180.000000
2023.810636  	176.000000
2024.157760  	172.000000
2024.504914  	171.000000
2024.852098  	179.000000
2025.199312  	184.000000
2025.546555  	195.000000
2025.893828  	176.000000
2026.241131  	177.000000
2026.588464  	165.000000
2026.935826  	171.000000
2027.283218  	190.000000
2027.630640  	186.000000
2027.978092  	160.000000
2028.325573  	178.000000
2028.673084  	180.000000
2029.020625  	179.000000
2029.368195  	188.000000
2029.715796  	192.000000
2030.063426  	193.000000
2030.411085  	182.000000
2030.758775  	182.000000
2031.106494  	187.000000
2031.454243  	183.000000
2031.802021  	188.000000
2032.149830  	197.000000
2032.497668  	199.000000
2032.845536  	208.000000
2033.193434  	208.000000
2033.541361  	215.000000
2033.889318  	193.000000
2034.237305  	196.000000
2034.585321  	217.000000
2034.933368  	215.000000
2035.281444  	219.000000
2035.629550  	245.000000
2035.977685  	258.000000
2036.325850  	281.000000
2036.674045  	311.000000
2037.022270  	318.000000
2037.370525  	336.000000
2037.718809  	347.000000
2038.067123  	347.000000
2038.415466  	327.000000
2038.763840  	318.000000
2039.112243  	315.000000
2039.460676  	292.000000
2039.809139  	279.000000
2040.157631  	263.000000
2040.506153  	246.000000
2040.854705  	212.000000
2041.203287  	188.000000
2041.551898  	186.000000
2041.900539  	192.000000
2042.249210  	187.000000
2042.597910  	183.000000
2042.946641  	181.000000
2043.295401  	181.000000
2043.644190  	188.000000
2043.993010  	199.000000
2044.341859  	204.000000
2044.690738  	188.000000
2045.039647  	183.000000
2045.388585  	179.000000
2045.737553  	179.000000
2046.086551  	178.000000
2046.435579  	189.000000
2046.784636  	192.000000
2047.133724  	215.000000
2047.482840  	199.000000
2047.831987  	203.000000
2048.181163  	216.000000
2048.530369  	205.000000
2048.879605  	201.000000
2049.228871  	213.000000
2049.578166  	223.000000
2049.927491  	227.000000
2050.276846  	233.000000
2050.626230  	223.000000
2050.975645  	218.000000
2051.325089  	225.000000
2051.674562  	209.000000
2052.024066  	213.000000
2052.373599  	226.000000
2052.723162  	245.000000
2053.072755  	258.000000
2053.422377  	257.000000
2053.772029  	236.000000
2054.121711  	228.000000
2054.471423  	209.000000
2054.821164  	204.000000
2055.170935  	215.000000
2055.520736  	211.000000
2055.870567  	207.000000
2056.220427  	205.000000
2056.570317  	196.000000
2056.920237  	208.000000
2057.270186  	198.000000
2057.620166  	196.000000
2057.970175  	199.000000
2058.320213  	204.000000
2058.670282  	203.000000
2059.020380  	207.000000
2059.370508  	201.000000
2059.720666  	207.000000
2060.070853  	197.000000
2060.421070  	202.000000
2060.771317  	199.000000
2061.121594  	202.000000
2061.471900  	211.000000
2061.822236  	209.000000
2062.172602  	203.000000
2062.522998  	211.000000
2062.873423  	217.000000
2063.223878  	215.000000
2063.574363  	202.000000
2063.924877  	212.000000
2064.275422  	217.000000
2064.625996  	213.000000
2064.976599  	205.000000
2065.327233  	200.000000
2065.677896  	194.000000
2066.028589  	186.000000
2066.379312  	180.000000
2066.730064  	172.000000
2067.080846  	184.000000
2067.431658  	187.000000
2067.782500  	185.000000
2068.133371  	190.000000
2068.484272  	195.000000
2068.835203  	203.000000
2069.186164  	208.000000
2069.537154  	220.000000
2069.888174  	217.000000
2070.239224  	214.000000
2070.590304  	217.000000
2070.941413  	209.000000
2071.292552  	206.000000
2071.643721  	198.000000
2071.994919  	204.000000
2072.346147  	205.000000
2072.697405  	212.000000
2073.048693  	219.000000
2073.400010  	207.000000
2073.751358  	198.000000
2074.102735  	202.000000
2074.454141  	220.000000
2074.805578  	240.000000
2075.157044  	253.000000
2075.508540  	262.000000
2075.860065  	258.000000
2076.211620  	283.000000
2076.563206  	281.000000
2076.914820  	274.000000
2077.266465  	270.000000
2077.618139  	251.000000
2077.969843  	232.000000
2078.321577  	225.000000
2078.673340  	232.000000
2079.025134  	231.000000
2079.376957  	224.000000
2079.728809  	204.000000
2080.080692  	195.000000
2080.432604  	188.000000
2080.784546  	185.000000
2081.136518  	180.000000
2081.488519  	197.000000
2081.840550  	197.000000
2082.192611  	184.000000
2082.544702  	191.000000
2082.896822  	195.000000
2083.248972  	191.000000
2083.601152  	189.000000
2083.953361  	202.000000
2084.305601  	196.000000
2084.657870  	189.000000
2085.010168  	184.000000
2085.362497  	192.000000
2085.714855  	178.000000
2086.067243  	182.000000
2086.419661  	184.000000
2086.772108  	170.000000
2087.124585  	170.000000
2087.477092  	177.000000
2087.829629  	181.000000
2088.182195  	179.000000
2088.534791  	187.000000
2088.887417  	181.000000
2089.240073  	176.000000
2089.592758  	164.000000
2089.945473  	174.000000
2090.298218  	161.000000
2090.650993  	174.000000
2091.003797  	181.000000
2091.356631  	188.000000
2091.709495  	196.000000
2092.062388  	186.000000
2092.415311  	193.000000
2092.768264  	198.000000
2093.121247  	200.000000
2093.474260  	209.000000
2093.827302  	198.000000
2094.180374  	192.000000
2094.533475  	185.000000
2094.886607  	198.000000
2095.239768  	197.000000
2095.592959  	189.000000
2095.946179  	176.000000
2096.299430  	166.000000
2096.652710  	161.000000
2097.006020  	171.000000
2097.359359  	191.000000
2097.712728  	184.000000
2098.066127  	172.000000
2098.419556  	168.000000
2098.773015  	176.000000
2099.126503  	185.000000
2099.480021  	169.000000
2099.833569  	168.000000
2100.187146  	175.000000
2100.540753  	171.000000
2100.894390  	159.000000
2101.248057  	155.000000
2101.601753  	172.000000
2101.955479  	179.000000
2102.309235  	173.000000
2102.663021  	177.000000
2103.016836  	168.000000
2103.370681  	170.000000
2103.724556  	173.000000
2104.078460  	180.000000
2104.432395  	175.000000
2104.786359  	174.000000
2105.140352  	175.000000
2105.494376  	180.000000
2105.848429  	176.000000
2106.202512  	167.000000
