# m/z   	intensity 
1999.240812  	352.000000
1999.585825  	348.000000
1999.930868  	342.000000
2000.275940  	321.000000
2000.621043  	314.000000
2000.966174  	344.000000
2001.311336  	361.000000
2001.656528  	356.000000
2002.001749  	341.000000
2002.347000  	360.000000
2002.692280  	378.000000
2003.037591  	369.000000
2003.382931  	368.000000
2003.728301  	368.000000
2004.073700  	379.000000
2004.419130  	358.000000
2004.764589  	349.000000
2005.110078  	354.000000
2005.455596  	369.000000
2005.801145  	377.000000
2006.146723  	377.000000
2006.492330  	353.000000
2006.837968  	369.000000
2007.183635  	371.000000
2007.529332  	373.000000
2007.875059  	372.000000
2008.220815  	371.000000
2008.566602  	364.000000
2008.912417  	374.000000
2009.258263  	376.000000
2009.604139  	391.000000
2009.950044  	394.000000
2010.295979  	377.000000
2010.641943  	379.000000
2010.987938  	365.000000
2011.333962  	369.000000
2011.680016  	363.000000
2012.026099  	356.000000
2012.372213  	349.000000
2012.718356  	342.000000
2013.064528  	341.000000
2013.410731  	360.000000
2013.756963  	348.000000
2014.103225  	347.000000
2014.449517  	347.000000
2014.795839  	349.000000
2015.142190  	354.000000
2015.488571  	344.000000
2015.834982  	346.000000
2016.181422  	342.000000
2016.527892  	365.000000
2016.874392  	370.000000
2017.220922  	386.000000
2017.567481  	366.000000
2017.914070  	368.000000
2018.260689  	382.000000
2018.607338  	371.000000
2018.954016  	380.000000
2019.300724  	381.000000
2019.647462  	363.000000
2019.994230  	361.000000
2020.341027  	365.000000
2020.687854  	371.000000
2021.034711  	371.000000
2021.381597  	360.000000
2021.728514  	361.000000
2022.075460  	378.000000
2022.422435  	390.000000
2022.769441  	390.000000
2023.116476  	405.000000
2023.463541  	399.000000
2023.810636  	374.000000
2024.157760  	342.000000
2024.504914  	334.000000
2024.852098  	384.000000
2025.199312  	400.000000
2025.546555  	396.000000
2025.893828  	381.000000
2026.241131  	372.000000
2026.588464  	369.000000
2026.935826  	362.000000
2027.283218  	375.000000
2027.630640  	391.000000
2027.978092  	380.000000
2028.325573  	387.000000
2028.673084  	387.000000
2029.020625  	392.000000
2029.368195  	390.000000
2029.715796  	396.000000
2030.063426  	404.000000
2030.411085  	410.000000
2030.758775  	407.000000
2031.106494  	404.000000
2031.454243  	413.000000
2031.802021  	418.000000
2032.149830  	419.000000
2032.497668  	430.000000
2032.845536  	450.000000
2033.193434  	461.000000
2033.541361  	472.000000
2033.889318  	508.000000
2034.237305  	540.000000
2034.585321  	598.000000
2034.933368  	641.000000
2035.281444  	721.000000
2035.629550  	841.000000
2035.977685  	921.000000
2036.325850  	974.000000
2036.674045  	999.000000
2037.022270  	966.000000
2037.370525  	917.000000
2037.718809  	852.000000
2038.067123  	792.000000
2038.415466  	728.000000
2038.763840  	680.000000
2039.112243  	636.000000
2039.460676  	587.000000
2039.809139  	564.000000
2040.157631  	523.000000
2040.506153  	519.000000
2040.854705  	509.000000
2041.203287  	477.000000
2041.551898  	467.000000
2041.900539  	464.000000
2042.249210  	463.000000
2042.597910  	459.000000
2042.946641  	469.000000
2043.295401  	471.000000
2043.644190  	456.000000
2043.993010  	441.000000
2044.341859  	432.000000
2044.690738  	433.000000
2045.039647  	418.000000
2045.388585  	406.000000
2045.737553  	422.000000
2046.086551  	415.000000
2046.435579  	414.000000
2046.784636  	420.000000
2047.133724  	443.000000
2047.482840  	459.000000
2047.831987  	443.000000
2048.181163  	431.000000
